kind,prefix,rank,grid_rank,grid_row,grid_col,local_rows,local_cols,total,compute,communication,distribution,broadcast,gather,idle,bytes_sent,bytes_received
rank,correctness_np1_n64,0,0,0,0,64,64,0.000167031000,0.000107957000,0.000056563000,0.000054019000,0.000000386000,0.000002158000,0.000002511000,0,0
rank,correctness_np4_n64,0,0,0,0,32,32,0.000309196000,0.000025485000,0.000278483000,0.000138693000,0.000102911000,0.000036879000,0.000005228000,65536,40960
rank,correctness_np4_n64,1,1,0,1,32,32,0.000317190000,0.000021977000,0.000274219000,0.000105929000,0.000131527000,0.000036763000,0.000020994000,24576,32768
rank,correctness_np4_n64,2,2,1,0,32,32,0.000302784000,0.000022898000,0.000269518000,0.000113975000,0.000147873000,0.000007670000,0.000010368000,24576,32768
rank,correctness_np4_n64,3,3,1,1,32,32,0.000316327000,0.000022790000,0.000275807000,0.000134688000,0.000115260000,0.000025859000,0.000017730000,24576,32768
rank,size_np4_n256,0,0,0,0,128,128,0.016685687000,0.005191628000,0.011445172000,0.007700363000,0.001915494000,0.001829315000,0.000048887000,1048576,655360
rank,size_np4_n256,1,1,0,1,128,128,0.019227998000,0.001708434000,0.013889246000,0.006723221000,0.006895533000,0.000270492000,0.003630318000,393216,524288
rank,size_np4_n256,2,2,1,0,128,128,0.015389228000,0.001669241000,0.012603730000,0.005318241000,0.005288936000,0.001996553000,0.001116257000,393216,524288
rank,size_np4_n256,3,3,1,1,128,128,0.015157814000,0.002566640000,0.012235779000,0.005769268000,0.006425952000,0.000040559000,0.000355395000,393216,524288
rank,size_np4_n512,0,0,0,0,256,256,0.091052616000,0.040543787000,0.050210852000,0.025733590000,0.023438312000,0.001038950000,0.000297977000,4194304,2621440
rank,size_np4_n512,1,1,0,1,256,256,0.091053462000,0.013161454000,0.076865413000,0.019101598000,0.029769203000,0.027994612000,0.001026595000,1572864,2097152
rank,size_np4_n512,2,2,1,0,256,256,0.087310602000,0.033444739000,0.036844777000,0.019093587000,0.016548165000,0.001203025000,0.017021086000,1572864,2097152
rank,size_np4_n512,3,3,1,1,256,256,0.091055599000,0.036937531000,0.053921751000,0.025595598000,0.004249626000,0.024076527000,0.000196317000,1572864,2097152
rank,size_np4_n1024,0,0,0,0,512,512,0.524001096000,0.373664853000,0.146242949000,0.108026629000,0.017656697000,0.020559623000,0.004093294000,16777216,10485760
rank,size_np4_n1024,1,1,0,1,512,512,0.524992111000,0.346885349000,0.171156520000,0.067864031000,0.100627171000,0.002665318000,0.006950242000,6291456,8388608
rank,size_np4_n1024,2,2,1,0,512,512,0.513464100000,0.161389302000,0.335888284000,0.070447670000,0.118569023000,0.146871591000,0.016186514000,6291456,8388608
rank,size_np4_n1024,3,3,1,1,512,512,0.524010642000,0.340874460000,0.179588446000,0.101742393000,0.075138084000,0.002707969000,0.003547736000,6291456,8388608
rank,size_np4_n1536,0,0,0,0,768,768,1.623823220000,1.071149196000,0.544459992000,0.197557528000,0.111042873000,0.235859591000,0.008214032000,37748736,23592960
rank,size_np4_n1536,1,1,0,1,768,768,1.621551790000,1.266031867000,0.209933891000,0.082599490000,0.123503700000,0.003830701000,0.145586032000,14155776,18874368
rank,size_np4_n1536,2,2,1,0,768,768,1.611293250000,1.378401205000,0.215910333000,0.140371753000,0.074917624000,0.000620956000,0.016981712000,14155776,18874368
